,Kaina,Markė,Modelis,Metai,Kuro tipas,"Darbinis tūris, l.","Galia, kW",Rida,Kėbulo tipas,Pavarų dėžė,Defektai,Vairo padėtis,Durų skaičius
0,18500,Volvo,V60,2018,Dyzelinas,2.0,110,107125,Universalas,Mechaninė,Be defektų,Kairėje,4/5
1,2000,Volkswagen,Golf,2005,Dyzelinas,2.0,103,295000,Hečbekas,Mechaninė,Be defektų,Kairėje,2/3
2,8200,Mercedes Benz,CLK320,2005,Benzinas,3.2,160,266700,Kabrioletas/Roadster,Automatinė,Be defektų,Kairėje,2/3
3,11000,Subaru,Levorg,2015,Benzinas,1.6,125,250000,Universalas,Automatinė,Be defektų,Kairėje,4/5
4,15300,BMW,420,2013,Dyzelinas,2.0,135,337000,Kupė/Sportas,Automatinė,Be defektų,Kairėje,2/3
5,22450,Skoda,Octavia,2020,Benzinas,2.0,180,57850,Universalas,Automatinė,Be defektų,Kairėje,4/5
6,3300,Mercedes Benz,270,2003,Dyzelinas,2.7,125,314017,Kupė/Sportas,Automatinė,Be defektų,Kairėje,2/3
7,22500,Subaru,Forester,2021,Benzinas,2.5,134,20000,Visureigis,Automatinė,Be defektų,Kairėje,4/5
8,3900,Citroen,C5,2011,Dyzelinas,2.0,120,350000,Universalas,Automatinė,Be defektų,Kairėje,4/5
9,6599,Volkswagen,Polo,2012,Dyzelinas,1.6,66,224000,Hečbekas,Automatinė,Be defektų,Kairėje,4/5
10,500,Seat,Alhambra,1998,Dyzelinas,1.9,66,420000,Vienatūris,Mechaninė,Be defektų,Kairėje,4/5
11,2090,Seat,Altea,2004,Dyzelinas,2.0,103,278028,Universalas,Mechaninė,Be defektų,Kairėje,4/5
12,64999,Chevrolet,Corvette,2017,Benzinas,6.2,423,62000,Kupė/Sportas,Automatinė,Be defektų,Kairėje,4/5
13,2150,Toyota,Avensis,2004,Benzinas,1.8,,123056,Hečbekas,Mechaninė,Be defektų,Kairėje,4/5
14,33950,Mercedes Benz,CLA180,2019,Benzinas,1.3,100,38251,Sedanas,Automatinė,Be defektų,Kairėje,4/5
15,4000,BMW,320,2005,Dyzelinas,2.0,120,339106,Sedanas,Mechaninė,Be defektų,Kairėje,4/5
16,3000,Mercedes Benz,E280,2006,Dyzelinas,3.2,150,300000,Sedanas,Automatinė,Be defektų,Kairėje,4/5
17,31950,Audi,Q7,2016,Dyzelinas,3.0,200,247451,Visureigis,Automatinė,Be defektų,Kairėje,4/5
18,11500,Audi,A6,2012,Dyzelinas,3.0,180,274000,Universalas,Automatinė,Be defektų,Kairėje,4/5
19,2900,BMW,Active Hybrid 7,2011,Benzinas/Elektra,4.4,339,185000,Sedanas,Automatinė,Be defektų,Kairėje,4/5
20,26950,Subaru,XV,2021,Benzinas/Elektra,2.0,110,21871,Visureigis,Automatinė,Be defektų,Kairėje,4/5
21,8400,Volkswagen,Golf,2015,Benzinas,1.4,92,175000,Hečbekas,Mechaninė,Be defektų,Kairėje,4/5
22,2750,Opel,Astra,2006,Dyzelinas,1.9,130,223000,Kabrioletas/Roadster,Mechaninė,Be defektų,Kairėje,2/3
23,1100,Ford,Cougar,1999,Benzinas,2.5,125,135000,Kupė/Sportas,Mechaninė,Be defektų,Kairėje,2/3
24,8000,Mercedes Benz,E350,2010,Dyzelinas,3.0,170,105256,Kupė/Sportas,Mechaninė,Be defektų,Kairėje,2/3
25,2850,Seat,Alhambra,2006,Dyzelinas,2.0,103,302658,Vienatūris,Mechaninė,,,
26,800,Ford,C-MAX,2005,Dyzelinas,2.0,100,,Hečbekas,Mechaninė,Be defektų,Kairėje,4/5
27,9200,BMW,520,2011,Dyzelinas,2.0,135,345000,Sedanas,Automatinė,Smulkūs kėbulo defektai,Kairėje,4/5
28,3500,Volvo,XC70,2002,Dyzelinas,2.4,120,330000,Universalas,Automatinė,Be defektų,Kairėje,4/5
29,8990,Hyundai,i20,2018,Benzinas,1.0,73,127205,Hečbekas,Mechaninė,,,4/5
30,4900,BMW,530,2005,Dyzelinas,3.0,160,293000,Universalas,Automatinė,Be defektų,Kairėje,4/5
31,5900,Volkswagen,Golf,2011,Dyzelinas,1.6,77,252000,Universalas,Mechaninė,Be defektų,Kairėje,4/5
32,25500,BMW,X3,2016,Dyzelinas,2.0,140,54900,Visureigis,Automatinė,Be defektų,Kairėje,4/5
33,13450,Volkswagen,Golf,2018,Dyzelinas,1.6,85,162201,Universalas,Automatinė,Be defektų,Kairėje,4/5
34,8000,Mercedes Benz,E350,2009,Dyzelinas,3.0,170,300000,Universalas,Automatinė,Be defektų,Kairėje,4/5
35,14400,Mercedes Benz,E300,2013,Dyzelinas,3.0,170,294000,Universalas,Automatinė,Be defektų,Kairėje,4/5
36,1700,Citroen,C5,2005,Dyzelinas,2.2,98,310000,Universalas,Automatinė,Smulkūs kėbulo defektai,Kairėje,4/5
37,400,Citroen,Evasion,2002,Dyzelinas,2.0,80,340000,Vienatūris,Mechaninė,Be defektų,Kairėje,4/5
38,6399,Toyota,Prius,2010,Benzinas/Elektra,1.8,100,234867,Hečbekas,Automatinė,Be defektų,Kairėje,4/5
39,24500,Jaguar,XJ,2019,Benzinas,3.0,250,107000,Sedanas,Automatinė,Be defektų,Kairėje,4/5
40,18999,Volkswagen,Passat Alltrack,2017,Dyzelinas,2.0,140,235588,Universalas,Automatinė,Be defektų,Kairėje,4/5
41,7000,Volvo,XC70,2011,Dyzelinas,2.4,151,400000,Universalas,Automatinė,Be defektų,Kairėje,4/5
42,2000,Volvo,V50,2005,Dyzelinas,1.6,80,258000,Universalas,Mechaninė,Be defektų,Kairėje,4/5
43,1200,Audi,A6,1996,Dyzelinas,2.5,85,491000,Universalas,Mechaninė,Be defektų,Kairėje,4/5
44,1200,Volkswagen,Golf,2001,Dyzelinas,1.9,85,,Hečbekas,Mechaninė,Be defektų,Kairėje,2/3
45,750,Peugeot,206,1999,Benzinas,1.4,,,Hečbekas,Automatinė,Be defektų,Kairėje,4/5
46,750,Audi,A4,1997,Dyzelinas,1.9,81,,Sedanas,Mechaninė,Be defektų,Kairėje,
47,3800,Ford,S-MAX,2009,Dyzelinas,1.8,92,260000,Vienatūris,Mechaninė,Be defektų,Kairėje,4/5
48,300,Audi,80,1989,Benzinas/Dujos,1.8,66,,Sedanas,Mechaninė,Be defektų,Kairėje,4/5
