,Kaina,Markė,Modelis,Metai,Kuro tipas,Kėbulo tipas,Pavarų dėžė,Variklis,Rida
0,14 399 €,Renault,Master,2015-07,Dyzelinas,Krovininis mikroautobusas,Mechaninė,"2.3 l., 92 kW",149 452 km
1,11 100 €,Mercedes-Benz,ML350,2007-01,Benzinas,Visureigis,Automatinė,"3.5 l., 200 kW",177 735 km
2,15 990 €,Volkswagen,Passat,2017-09,Dyzelinas,Sedanas,Automatinė,"1.6 l., 88 kW",171 677 km
3,24 999 €,Audi,Q5,2016-10,Dyzelinas,Visureigis,Automatinė,"3.0 l., 190 kW",65 358 km
4,28 000 €,Toyota,Proace,2019-12,Dyzelinas,Vienatūris,Mechaninė,"1.5 l., 88 kW",87 000 km
5,44 000 €,BMW,X6 M,2016-06,Benzinas,Visureigis,Automatinė,"4.4 l., 423 kW",138 000 km
6,12 250 €,Mercedes-Benz,SL500,1991,Benzinas,Kabrioletas,Automatinė,"5.0 l., 240 kW",156 942 km
7,13 900 €,Volvo,XC60,2014-12,Dyzelinas,Visureigis,Automatinė,"2.0 l., 133 kW",292 000 km
8,18 500 €,Skoda,Octavia Scout,2017-11,Dyzelinas,Universalas,Automatinė,"2.0 l., 135 kW",142 000 km
9,19 890 €,Peugeot,3008,2018-11,Dyzelinas,Visureigis,Automatinė,"1.5 l., 96 kW",160 000 km
10,23 000 €,Audi,S4,2013-11,Benzinas,Sedanas,Automatinė,"3.0 l., 245 kW",68 000 km
11,2 500 €,Mercedes-Benz,CLK240,2003,Benzinas,Kupė (Coupe),Automatinė,"2.6 l., 125 kW",210 000 km
12,3 600 €,BMW,320,2008-10,Dyzelinas,Universalas,Mechaninė,"2.0 l., 105 kW",250 000 km
13,4 400 €,BMW,330,2007,Dyzelinas,Sedanas,Automatinė,"3.0 l., 170 kW",450 000 km
14,7 000 €,Audi,A4,2008-07,Benzinas,Universalas,Automatinė,"1.8 l., 118 kW",279 000 km
15,15 200 €,BMW,740,2013-12,Benzinas,Sedanas,Automatinė,"3.0 l., 235 kW",168 000 km
16,15 490 €,Audi,A3,2018-03,Dyzelinas,Hečbekas,Mechaninė,"1.6 l., 85 kW",94 986 km
17,175 000 €,Mercedes-Benz,GLS63 AMG,2021-11,Benzinas / elektra,Visureigis,Automatinė,"4.0 l., 450 kW",36 000 km
18,1 200 €,Volkswagen,Passat,2006-12,Dyzelinas,Universalas,Mechaninė,"2.0 l., 103 kW",Panevėžys
19,4 100 €,Audi,A4,2006,Dyzelinas,Universalas,Mechaninė,"2.0 l., 103 kW",312 000 km
20,4 350 €,BMW,330,2006-08,Dyzelinas,Sedanas,Automatinė,"3.0 l., 170 kW",298 000 km
21,4 490 €,Audi,A6,2008-12,Benzinas,Universalas,Mechaninė,"2.0 l., 125 kW",270 000 km
22,7 600 €,BMW,X5,2007,Benzinas,Visureigis,Automatinė,"3.0 l., 200 kW",250 000 km
23,7 800 €,Volkswagen,Caddy,2016-09,Dyzelinas,Kita,Mechaninė,"2.0 l., 75 kW",155 000 km
24,8 250 €,Opel,Mokka X,2013-07,Benzinas / dujos,Hečbekas,Mechaninė,"1.4 l., 103 kW",272 000 km
25,8 849 €,Volkswagen,Golf,2013-01,Benzinas,Hečbekas,Mechaninė,"1.4 l., 103 kW",178 088 km
26,9 700 €,BMW,X5,2008-12,Dyzelinas,Visureigis,Automatinė,"3.0 l., 210 kW",289 547 km
27,11 950 €,Opel,Ampera,2013-08,Benzinas / elektra,Hečbekas,Automatinė,"1.4 l., 111 kW",107 513 km
28,12 900 €,BMW,535,2011,Dyzelinas,Universalas,Automatinė,"3.0 l., 221 kW",292 000 km
29,12 999 €,BMW,X1,2015-07,Dyzelinas,Visureigis,Automatinė,"2.0 l., 105 kW",282 899 km
30,13 290 €,Volkswagen,Touran,2015-09,Dyzelinas,Vienatūris,Mechaninė,"1.6 l., 81 kW",135 000 km
31,13 900 €,Volkswagen,Passat,2014-12,Dyzelinas,Universalas,Automatinė,"2.0 l., 110 kW",222 000 km
32,14 200 €,Volkswagen,Multivan,2010-03,Dyzelinas,Vienatūris,Automatinė,"2.0 l., 132 kW",285 600 km
33,15 950 €,Volkswagen,Golf,2018-10,Benzinas,Hečbekas,Automatinė,"2.0 l., 162 kW",81 000 km
34,16 800 €,BMW,330,2018-03,Benzinas,Sedanas,Automatinė,"2.0 l., 185 kW",69 000 km
35,17 190 €,Opel,Insignia,2019-06,Dyzelinas,Hečbekas,Automatinė,"1.6 l., 100 kW",104 466 km
